[Gene ID],[Genomic Location (Transcript)],[Product Description],,Start_loc,Stop_loc,LOCUS,STRAND,H_exp,S_exp,CONTIG,Start_TE,Stop_TE,Type,Subtype
CIMG_11725,GG704912:2270232..2271308(+),long-chain acyl-CoA synthetase,GG704912,2270086,2271721,CIMG_11725,+,7.0326,7.7364,GG704912,2273362,2273571,DNA,TcMar
CIMG_11724,GG704912:2265763..2268229(+),AMP-binding enzyme,GG704912,2265318,2268416,CIMG_11724,+,0.6166,0.944,GG704912,2273362,2273571,DNA,TcMar
CIMG_11714,GG704912:2114019..2114339(+),hypothetical protein,GG704912,2113501,2114339,CIMG_11714,+,1.852,22.1895,GG704912,2115343,2115476,DNA,TcMar
CIMG_11680,GG704912:1755968..1756862(+),hypothetical protein,GG704912,1755968,1756862,CIMG_11680,+,4.6927,11.4604,GG704912,1760890,1760925,LTR,Gypsy
CIMG_11657,GG704912:1518719..1519039(-),hypothetical protein,GG704912,1518393,1519558,CIMG_11657,-,3.606,7.7717,GG704912,1524494,1524934,DNA,TcMar
CIMG_11594,GG704915:3397826..3398331(-),hypothetical protein,GG704915,3397826,3398331,CIMG_11594,-,10.394,13.1854,GG704915,3395978,3396022,DNA,hAT
CIMG_11593,GG704915:3399756..3401183(-),CMGC/SRPK protein kinase,GG704915,3399164,3401386,CIMG_11593,-,0.4237,0.8426,GG704915,3402155,3402220,DNA,TcMar
CIMG_11567,GG704914:3609002..3611669(+),hypothetical protein,GG704914,3609002,3611669,CIMG_11567,+,1.4393,1.1714,GG704914,3613866,3613929,LTR,Ngaro
CIMG_11555,GG704914:3450829..3451210(-),hypothetical protein,GG704914,3450319,3451221,CIMG_11555,-,0.2696,0.7878,GG704914,3450822,3451446,DNA,TcMar
CIMG_11548,GG704914:3365781..3366491(+),hypothetical protein,GG704914,3365756,3366563,CIMG_11548,+,27.4584,41.1788,GG704914,3365593,3365645,DNA,hAT
CIMG_11545,GG704914:3352556..3354832(+),"fructose-2,6-bisphosphatase, fructose-2,6-bisphosphatase, variant",GG704914,3351155,3355213,CIMG_11545,+,0,0,GG704914,3355215,3355258,DNA,TcMar
CIMG_11537,GG704914:3304836..3306170(+),hypothetical protein,GG704914,3304836,3306170,CIMG_11537,+,0.4298,1.3738,GG704914,3306513,3306643,LTR,Gypsy
CIMG_11527,GG704914:3254436..3254945(+),small nuclear ribonucleoprotein,GG704914,3254259,3255299,CIMG_11527,+,14.7145,14.9106,GG704914,3258298,3259234,DNA,TcMar
CIMG_11518,GG704914:3109068..3109673(+),hypothetical protein,GG704914,3109068,3109673,CIMG_11518,+,0.1231,0.9441,GG704914,3110355,3111432,LTR,Copia
CIMG_11517,GG704914:3105052..3105947(-),hypothetical protein,GG704914,3104791,3106042,CIMG_11517,-,0.5376,3.1419,GG704914,3097991,3102425,LTR,Ngaro
CIMG_11497,GG704914:2750152..2750583(-),hypothetical protein,GG704914,2748929,2750814,CIMG_11497,-,0.2633,1.17,GG704914,2752524,2752868,DNA,TcMar
CIMG_11496,GG704914:2747128..2748360(+),hypothetical protein,GG704914,2747128,2748360,CIMG_11496,+,0.0705,0,GG704914,2752524,2752868,DNA,TcMar
CIMG_11410,GG704914:1541457..1542030(+),hypothetical protein,GG704914,1541457,1542030,CIMG_11410,+,1.628,5.0212,GG704914,1542509,1542841,LINE,Tad1
CIMG_11371,GG704914:1117732..1118231(-),hypothetical protein,GG704914,1117732,1118231,CIMG_11371,-,5.2461,22.2394,GG704914,1118146,1118308,DNA,TcMar
CIMG_11370,GG704914:1116577..1117020(-),hypothetical protein,GG704914,1116577,1117020,CIMG_11370,-,1.3319,0.9222,GG704914,1116971,1117557,LTR,Gypsy
CIMG_11293,GG704914:55251..56558(-),"sn-1,2-diacylglycerol cholinephosphotransferase, sn-1,2-diacylglycerol cholinephosphotransferase, variant",GG704914,54974,57012,CIMG_11293,-,0,0,GG704914,53436,53818,DNA,TcMar
CIMG_11291,GG704914:8336..8877(+),hypothetical protein,GG704914,8336,8877,CIMG_11291,+,0.0986,0.252,GG704914,8756,8957,DNA,TcMar
CIMG_11277,GG704916:3203084..3203830(-),hypothetical protein,GG704916,3203084,3203830,CIMG_11277,-,0,0,GG704916,3203403,3205727,DNA,TcMar
CIMG_11276,GG704916:3202277..3202818(-),progesterone binding protein,GG704916,3202017,3202997,CIMG_11276,-,3.6817,2.5292,GG704916,3203393,3203463,DNA,TcMar
CIMG_11203,GG704916:2254227..2254568(+),hypothetical protein,GG704916,2253791,2254806,CIMG_11203,+,10.844,379.7052,GG704916,2258802,2258874,DNA,hAT
CIMG_11187,GG704916:2049807..2050115(-),hypothetical protein,GG704916,2049108,2050897,CIMG_11187,-,0.035,0.3432,GG704916,2050267,2050357,LTR,Gypsy
CIMG_11186,GG704916:2046558..2048043(-),hypothetical protein,GG704916,2046558,2048043,CIMG_11186,-,0.3518,0.3198,GG704916,2050267,2050357,LTR,Gypsy
CIMG_11185,GG704916:2045538..2046299(-),hypothetical protein,GG704916,2045259,2046299,CIMG_11185,-,4.6427,14.1228,GG704916,2050267,2050357,LTR,Gypsy
CIMG_11184,GG704916:2044630..2045224(+),hypothetical protein,GG704916,2044514,2045373,CIMG_11184,+,6.0337,2.4068,GG704916,2050267,2050357,LTR,Gypsy
CIMG_11033,GG704916:119103..119800(-),hypothetical protein,GG704916,119103,119800,CIMG_11033,-,0.235,0.8414,GG704916,120514,120588,LTR,Gypsy
CIMG_11032,GG704916:117962..118558(-),hypothetical protein,GG704916,117844,118558,CIMG_11032,-,17.599,24.8393,GG704916,120514,120588,LTR,Gypsy
CIMG_11012,GG704911:1103559..1104854(-),hypothetical protein,GG704911,1103559,1104854,CIMG_11012,-,0.1632,0.5844,GG704911,1105914,1106261,DNA,TcMar
CIMG_11008,GG704911:1227194..1227572(+),hypothetical protein,GG704911,1227194,1227572,CIMG_11008,+,0.2847,2.0222,GG704911,1232038,1232155,DNA,TcMar
CIMG_10987,GG704911:1423623..1424046(-),TOM complex component Tom7,GG704911,1423357,1424046,CIMG_10987,-,24.2748,17.2898,GG704911,1426961,1428350,LTR,Copia
CIMG_10971,GG704911:1619054..1619605(-),hypothetical protein,GG704911,1619054,1619605,CIMG_10971,-,8.1544,6.0648,GG704911,1624076,1624153,LTR,Gypsy
CIMG_10904,GG704911:2236709..2237649(+),major facilitator superfamily transporter protein,GG704911,2234851,2237649,CIMG_10904,+,0.2453,0.8363,GG704911,2238592,2238664,LTR,Gypsy
CIMG_10882,GG704911:2501693..2508397(-),pre-mRNA splicing helicase,GG704911,2501421,2508559,CIMG_10882,-,23.1051,15.0044,GG704911,2513498,2513577,DNA,TcMar
CIMG_10876,GG704911:2843836..2845479(-),autophagy protein Apg6,GG704911,2843733,2845563,CIMG_10876,-,0.0886,0.1963,GG704911,2843498,2843644,LTR,Gypsy
CIMG_10873,GG704911:2947710..2948030(+),hypothetical protein,GG704911,2947710,2948030,CIMG_10873,+,4.6299,21.383,GG704911,2950325,2950582,DNA,TcMar
CIMG_10866,GG704911:3056667..3057170(-),hypothetical protein,GG704911,3056667,3057170,CIMG_10866,-,0.9765,1.9973,GG704911,3057479,3057543,LTR,Copia
CIMG_10859,GG704911:3141681..3142309(+),hypothetical protein,GG704911,3141681,3142309,CIMG_10859,+,0.8171,5.372,GG704911,3145963,3151187,LTR,Copia
CIMG_10857,GG704911:3160939..3162042(+),hypothetical protein,GG704911,3160831,3162166,CIMG_10857,+,2.9638,2.6874,GG704911,3163778,3164035,DNA,TcMar
CIMG_10838,GG704911:3420188..3420999(-),hypothetical protein,GG704911,3420188,3420999,CIMG_10838,-,0.5506,2.1898,GG704911,3422375,3422479,LINE,Tad1
CIMG_10837,GG704911:3421450..3422057(+),hypothetical protein,GG704911,3421450,3422057,CIMG_10837,+,0.2447,0.4171,GG704911,3422375,3422479,LINE,Tad1
CIMG_10815,GG704911:3794583..3796388(-),phosphotransferase enzyme family protein,GG704911,3794583,3796388,CIMG_10815,-,0.1109,0.2837,GG704911,3795134,3795303,DNA,TcMar
CIMG_10794,GG704911:4119429..4119839(-),hypothetical protein,GG704911,4119429,4119839,CIMG_10794,-,0.3706,0.6317,GG704911,4121930,4122244,DNA,TcMar
CIMG_10792,GG704911:4122451..4123563(-),hypothetical protein,GG704911,4122451,4123563,CIMG_10792,-,0,0.0448,GG704911,4121930,4122244,DNA,TcMar
CIMG_10791,GG704911:4123973..4125213(-),phosphotransferase enzyme family protein,GG704911,4123827,4125213,CIMG_10791,-,0.067,0.1522,GG704911,4126645,4126702,DNA,TcMar
CIMG_10667,GG704911:5777577..5778962(-),Sua5/YciO/YrdC/YwlC family protein,GG704911,5777369,5779146,CIMG_10667,-,30.2282,24.5047,GG704911,5782903,5783009,LTR,Copia
CIMG_10666,GG704911:5779813..5781404(-),hypothetical protein,GG704911,5779666,5781404,CIMG_10666,-,3.1872,5.9234,GG704911,5782903,5783009,LTR,Copia
CIMG_10613,GG704911:6654794..6656105(+),hypothetical protein,GG704911,6654794,6656105,CIMG_10613,+,0.7879,3.4321,GG704911,6657199,6657422,LTR,Copia
CIMG_10612,GG704911:6656269..6656953(+),hypothetical protein,GG704911,6656269,6656953,CIMG_10612,+,11.0588,17.1658,GG704911,6657199,6657422,LTR,Copia
CIMG_10585,GG704911:6950932..6951598(+),hypothetical protein,GG704911,6950932,6951598,CIMG_10585,+,0.0752,0.1923,GG704911,6951782,6951866,DNA,TcMar
CIMG_10494,GG704911:7920909..7921817(+),"hypothetical protein, hypothetical protein, variant",GG704911,7919994,7922297,CIMG_10494,+,0,0,GG704911,7923705,7923788,LTR,Gypsy
CIMG_10492,GG704911:7923253..7923577(-),hypothetical protein,GG704911,7922963,7923776,CIMG_10492,-,0.5833,3.1357,GG704911,7923705,7923788,LTR,Gypsy
CIMG_10489,GG704911:7961437..7963752(+),hypothetical protein,GG704911,7961437,7964084,CIMG_10489,+,45.1038,48.8317,GG704911,7967262,7967332,DNA,TcMar
CIMG_10488,GG704911:7964759..7965448(+),hypothetical protein,GG704911,7964174,7965448,CIMG_10488,+,0.0248,0.4666,GG704911,7967262,7967332,DNA,TcMar
CIMG_10467,GG704911:8135064..8135387(+),hypothetical protein,GG704911,8135064,8135387,CIMG_10467,+,0.7522,2.5644,GG704911,8135841,8135929,LTR,Copia
CIMG_10460,GG704911:8222774..8223468(-),hypothetical protein,GG704911,8222339,8223507,CIMG_10460,-,71.2165,114.6859,GG704911,8223668,8223996,DNA,TcMar
CIMG_10458,GG704911:8406561..8407763(+),"hypothetical protein, hypothetical protein, variant",GG704911,8406474,8407958,CIMG_10458,+,0,0,GG704911,8404174,8406356,LTR,Copia
CIMG_10442,GG704911:45931..47854(-),hypothetical protein,GG704911,45530,47900,CIMG_10442,-,0.9321,0.5335,GG704911,50337,50578,DNA,TcMar
CIMG_10440,GG704911:52355..53207(+),hypothetical protein,GG704911,52355,53207,CIMG_10440,+,2.6315,7.4636,GG704911,51973,52181,DNA,TcMar
CIMG_10433,GG704911:72597..74877(+),hypothetical protein,GG704911,72597,74877,CIMG_10433,+,0.7409,1.5849,GG704911,65867,71175,LTR,Copia
CIMG_10420,GG704911:123999..124385(+),hypothetical protein,GG704911,123665,124750,CIMG_10420,+,3.3947,3.5146,GG704911,118208,123409,LTR,Gypsy
CIMG_10419,GG704911:124611..126089(-),hypothetical protein,GG704911,123665,126132,CIMG_10419,-,0.6086,1.5775,GG704911,118208,123409,LTR,Gypsy
CIMG_10356,GG704911:372019..373302(+),hypothetical protein,GG704911,371594,373761,CIMG_10356,+,1.8609,1.4752,GG704911,371203,371280,LTR,Copia
CIMG_10353,GG704911:401974..402225(-),hypothetical protein,GG704911,401974,402225,CIMG_10353,-,0,0,GG704911,404669,404851,DNA,MULE-MuDR
CIMG_10348,GG704911:419553..420558(+),"hypothetical protein, hypothetical protein, variant",GG704911,419396,421814,CIMG_10348,+,0,0,GG704911,421830,423717,LTR,Gypsy
CIMG_10332,GG704915:1378820..1382715(-),nuclear pore complex protein Nup160,GG704915,1378672,1382858,CIMG_10332,-,0.1427,0.1536,GG704915,1382974,1383335,DNA,TcMar
CIMG_10321,GG704915:1307248..1307766(+),hypothetical protein,GG704915,1307248,1307766,CIMG_10321,+,63.9039,61.6531,GG704915,1306690,1306782,LTR,Copia
CIMG_10320,GG704915:1305264..1305623(+),hypothetical protein,GG704915,1305264,1305623,CIMG_10320,+,59.1589,110.5682,GG704915,1305719,1305771,DNA,TcMar
CIMG_10319,GG704915:1304062..1304877(+),hypothetical protein,GG704915,1304062,1304877,CIMG_10319,+,13.9522,27.8137,GG704915,1305719,1305771,DNA,TcMar
CIMG_10317,GG704915:1298785..1299880(-),integral membrane protein,GG704915,1298523,1299898,CIMG_10317,-,2.6883,7.2919,GG704915,1300340,1300493,LTR,Copia
CIMG_10316,GG704915:1296569..1298418(+),hypothetical protein,GG704915,1296528,1298465,CIMG_10316,+,4.5607,0.8767,GG704915,1300340,1300493,LTR,Copia
CIMG_10315,GG704915:1293379..1295952(-),formin binding protein,GG704915,1293225,1295952,CIMG_10315,-,0.1541,0.1617,GG704915,1300340,1300493,LTR,Copia
CIMG_10310,GG704915:1275155..1277083(+),pre-mRNA splicing factor,GG704915,1275115,1277180,CIMG_10310,+,3.6555,2.1384,GG704915,1277906,1278063,DNA,TcMar
CIMG_10309,GG704915:1272707..1274781(-),pre-mRNA-splicing factor CLF1,GG704915,1272707,1274863,CIMG_10309,-,2.3235,2.1534,GG704915,1277906,1278063,DNA,TcMar
CIMG_10243,GG704915:1108846..1109872(+),GTP-binding nuclear protein GSP1/Ran,GG704915,1108633,1110334,CIMG_10243,+,24.9326,23.9963,GG704915,1110721,1110837,LTR,Gypsy
CIMG_10292,GG704915:1223195..1226499(-),heavy metal translocating P-type ATPase,GG704915,1223046,1227933,CIMG_10292,-,2.0251,1.243,GG704915,1232662,1232736,DNA,TcMar
CIMG_10241,GG704915:1102930..1105760(-),hypothetical protein,GG704915,1102471,1105760,CIMG_10241,-,0.1116,0.1124,GG704915,1110721,1110837,LTR,Gypsy
CIMG_10242,GG704915:1107115..1108035(+),26S proteasome non-ATPase regulatory subunit Nas2,GG704915,1107000,1108389,CIMG_10242,+,2.9756,5.5701,GG704915,1110721,1110837,LTR,Gypsy
CIMG_10230,GG704915:1072141..1074506(-),hypothetical protein,GG704915,1072141,1074615,CIMG_10230,-,14.6223,1.4273,GG704915,1076510,1076576,DNA,TcMar
CIMG_10231,GG704915:1077702..1080014(+),hypothetical protein,GG704915,1077650,1080280,CIMG_10231,+,45.5227,75.0136,GG704915,1080485,1080594,DNA,TcMar
CIMG_10176,GG704915:930865..932869(-),acetamidase,GG704915,930777,932962,CIMG_10176,-,5.2619,2.0829,GG704915,935662,936027,DNA,hAT
CIMG_10177,GG704915:933592..934530(+),hypothetical protein,GG704915,933592,934530,CIMG_10177,+,0.1946,0.4424,GG704915,935662,936027,DNA,hAT
CIMG_10138,GG704915:836443..838217(-),C-5 cytosine methyltransferase DmtA,GG704915,836443,838217,CIMG_10138,-,2.6191,2.9609,GG704915,842425,845109,LTR,Ngaro
CIMG_10131,GG704915:815416..816364(+),hypothetical protein,GG704915,815416,816364,CIMG_10131,+,0.4836,0.1177,GG704915,817175,817303,LTR,Copia
CIMG_10130,GG704915:813625..815010(+),"GDP-mannose 4,6-dehydratase",GG704915,813625,815010,CIMG_10130,+,2.8645,1.7014,GG704915,817175,817303,LTR,Copia
CIMG_10126,GG704915:798515..799915(+),beta-lactamase,GG704915,798515,799915,CIMG_10126,+,0.3094,0.1918,GG704915,800695,800728,DNA,TcMar
CIMG_10125,GG704915:796231..797670(+),C6 transcription factor,GG704915,795954,798291,CIMG_10125,+,1.9889,1.4062,GG704915,800695,800728,DNA,TcMar
CIMG_10124,GG704915:794403..795513(-),RTA1 domain-containing protein,GG704915,794273,796409,CIMG_10124,-,1.1213,2.1159,GG704915,800695,800728,DNA,TcMar
CIMG_10118,GG704915:778208..779257(-),short chain dehydrogenase,GG704915,778104,779257,CIMG_10118,-,6.6198,13.2186,GG704915,783568,784060,DNA,TcMar
CIMG_10115,GG704915:770801..771885(+),hypothetical protein,GG704915,770801,771885,CIMG_10115,+,5.3925,16.1356,GG704915,772190,772433,DNA,TcMar
CIMG_10114,GG704915:768532..770094(+),"2-methylcitrate synthase, mitochondrial",GG704915,768403,770387,CIMG_10114,+,25.5112,14.4892,GG704915,766670,766770,LTR,Gypsy
CIMG_10113,GG704915:766449..767511(-),hypothetical protein,GG704915,766449,767511,CIMG_10113,-,0.2929,0.1387,GG704915,766670,766770,LTR,Gypsy
CIMG_10112,GG704915:764531..765893(-),aromatic ring-opening dioxygenase LigB subunit,GG704915,764359,765990,CIMG_10112,-,3.6083,12.3002,GG704915,766670,766770,LTR,Gypsy
CIMG_10111,GG704915:763840..764347(+),NADH-ubiquinone oxidoreductase 105 kDa subunit,GG704915,763735,765098,CIMG_10111,+,30.6817,30.0157,GG704915,766670,766770,LTR,Gypsy
CIMG_10110,GG704915:762572..763393(-),hypothetical protein,GG704915,762572,763393,CIMG_10110,-,79.9211,101.3525,GG704915,766670,766770,LTR,Gypsy
CIMG_10109,GG704915:760442..761834(-),alcohol dehydrogenase,GG704915,760442,761834,CIMG_10109,-,6.7952,23.1219,GG704915,766670,766770,LTR,Gypsy
CIMG_10101,GG704915:730936..732127(+),metalloproteinase 8,GG704915,730936,732337,CIMG_10101,+,0.5257,0.3054,GG704915,732861,733040,DNA,TcMar
CIMG_10100,GG704915:728249..729337(-),C-5 sterol desaturase,GG704915,727675,729448,CIMG_10100,-,2.94,3.4311,GG704915,732861,733040,DNA,TcMar
CIMG_10084,GG704915:692428..693104(-),assembly factor CBP4,GG704915,690959,693236,CIMG_10084,-,3.02,4.2091,GG704915,694027,694105,LTR,Gypsy
CIMG_10083,GG704915:689975..691509(+),glycosyl hydrolase family 76 protein,GG704915,689509,692834,CIMG_10083,+,6.6009,7.8116,GG704915,694027,694105,LTR,Gypsy
CIMG_09984,GG704915:436822..438199(+),glycerol-3-phosphate dehydrogenase [NAD(+)],GG704915,436576,438199,CIMG_09984,+,14.1942,4.8007,GG704915,442269,442349,DNA,TcMar
CIMG_09953,GG704915:333690..334251(+),hypothetical protein,GG704915,333690,334251,CIMG_09953,+,31.447,86.8632,GG704915,334970,341213,LTR,Gypsy
CIMG_09952,GG704915:331369..333198(-),hypothetical protein,GG704915,330896,333198,CIMG_09952,-,15.6783,50.7089,GG704915,334970,341213,LTR,Gypsy
CIMG_09940,GG704915:280510..281533(-),hypothetical protein,GG704915,279304,281566,CIMG_09940,-,1.2818,4.6456,GG704915,281563,281722,DNA,hAT
CIMG_09925,GG704915:228643..229871(+),serine/threonine protein kinase,GG704915,228457,230000,CIMG_09925,+,45.0388,106.0632,GG704915,228655,229877,DNA,TcMar
CIMG_09922,GG704915:212545..213368(+),hypothetical protein,GG704915,212545,213368,CIMG_09922,+,2.1174,1.6374,GG704915,209819,210078,DNA,TcMar
CIMG_09921,GG704915:210229..212026(+),T-complex protein 1 subunit beta,GG704915,210229,212026,CIMG_09921,+,10.3664,22.9986,GG704915,209819,210078,DNA,TcMar
CIMG_09917,GG704915:200378..202410(-),peptidyl-prolyl cis-trans isomerase cypE,GG704915,200243,202512,CIMG_09917,-,23.5877,20.8574,GG704915,202613,202812,DNA,TcMar
CIMG_09916,GG704915:196372..199976(+),IRE protein kinase,GG704915,195991,200120,CIMG_09916,+,20.6107,14.9681,GG704915,202613,202812,DNA,TcMar
CIMG_09910,GG704915:178063..179991(+),hypothetical protein,GG704915,178063,180383,CIMG_09910,+,16.6534,23.953,GG704915,180275,180394,DNA,TcMar
CIMG_09909,GG704915:175702..177261(+),major facilitator superfamily transporter protein,GG704915,175606,177373,CIMG_09909,+,4.4145,2.0489,GG704915,175401,175494,DNA,TcMar
CIMG_09905,GG704915:156944..157975(+),serine/threonine protein kinase,GG704915,156815,158359,CIMG_09905,+,20.5881,28.0154,GG704915,158412,158795,DNA,TcMar
CIMG_09902,GG704915:144638..146471(+),hypothetical protein,GG704915,144638,147183,CIMG_09902,+,1.0302,2.7196,GG704915,148498,148558,LTR,Gypsy
CIMG_09901,GG704915:144001..144354(+),hypothetical protein,GG704915,144001,144354,CIMG_09901,+,2.1517,2.3471,GG704915,148498,148558,LTR,Gypsy
CIMG_09894,GG704915:132583..134170(+),cytochrome P450,GG704915,132583,134170,CIMG_09894,+,0.1713,0.8967,GG704915,134459,134843,LTR,Gypsy
CIMG_09893,GG704915:130401..130772(-),hypothetical protein,GG704915,130401,130772,CIMG_09893,-,0.4095,1.6053,GG704915,129314,129405,DNA,TcMar
CIMG_09832,GG704912:79852..80396(-),hypothetical protein,GG704912,79662,80463,CIMG_09832,-,1.1299,1.1005,GG704912,72343,79416,LTR,Gypsy
CIMG_09830,GG704912:87324..88133(+),hypothetical protein,GG704912,87313,88295,CIMG_09830,+,16.0428,54.2933,GG704912,86650,86947,LTR,Gypsy
CIMG_09829,GG704912:88512..89175(-),hypothetical protein,GG704912,88512,89175,CIMG_09829,-,0.3353,1.3064,GG704912,89602,89722,LTR,Copia
CIMG_09809,GG704912:134420..137388(+),hypothetical protein,GG704912,134420,138069,CIMG_09809,+,0.8037,0.7816,GG704912,141964,142136,DNA,hAT
CIMG_09808,GG704912:140290..140610(+),hypothetical protein,GG704912,139881,141270,CIMG_09808,+,7.2334,7.9576,GG704912,141964,142136,DNA,hAT
CIMG_09798,GG704912:170361..172260(-),hypothetical protein,GG704912,170361,172427,CIMG_09798,-,1.784,3.7281,GG704912,176689,176888,LINE,Tad1
CIMG_09773,GG704912:236440..237390(-),chitosanase,GG704912,236367,237420,CIMG_09773,-,1.5467,0.4904,GG704912,238250,240961,LTR,Copia
CIMG_09662,GG704912:581587..582602(-),ribose 5-phosphate isomerase A,GG704912,581488,582867,CIMG_09662,-,3.167,3.94,GG704912,584736,584914,DNA,TcMar
CIMG_09661,GG704912:583331..584553(-),hypothetical protein,GG704912,583085,584606,CIMG_09661,-,39.6704,36.8279,GG704912,584736,584914,DNA,TcMar
CIMG_09650,GG704912:619680..622188(-),actin cytoskeleton organization protein App1,GG704912,619541,622188,CIMG_09650,-,0.1518,0.2887,GG704912,619078,619192,DNA,TcMar
CIMG_09648,GG704912:624865..626599(-),radical SAM/Cys-rich domain-containing protein,GG704912,624865,626599,CIMG_09648,-,1.4543,2.1427,GG704912,627088,630081,LTR,Copia
CIMG_09629,GG704912:670777..674831(+),pfs domain-containing protein,GG704912,670777,674831,CIMG_09629,+,0.1891,0.1483,GG704912,678707,684012,LTR,Copia
CIMG_09628,GG704912:675716..677651(-),protein-tyrosine phosphatase,GG704912,675157,677961,CIMG_09628,-,0.1482,0.0485,GG704912,678707,684012,LTR,Copia
CIMG_09597,GG704912:748743..750084(+),small G-protein GPA2,GG704912,747809,751157,CIMG_09597,+,8.6215,7.8721,GG704912,754854,755111,DNA,TcMar
CIMG_09596,GG704912:751433..752674(+),hypothetical protein,GG704912,751348,753075,CIMG_09596,+,9.3223,8.8972,GG704912,754854,755111,DNA,TcMar
CIMG_09595,GG704912:753676..754644(-),V-type proton ATPase proteolipid subunit,GG704912,753166,754826,CIMG_09595,-,1.7114,1.9667,GG704912,754854,755111,DNA,TcMar
CIMG_09588,GG704915:3279720..3282009(-),amino acid transporter,GG704915,3279090,3282224,CIMG_09588,-,2.5721,1.9973,GG704915,3282528,3282709,LTR,Copia
CIMG_09587,GG704915:3278239..3278977(+),hypothetical protein,GG704915,3278121,3279839,CIMG_09587,+,82.489,67.6575,GG704915,3282528,3282709,LTR,Copia
CIMG_09586,GG704915:3276445..3277452(+),small nuclear ribonucleoprotein B and B',GG704915,3276293,3277689,CIMG_09586,+,12.8649,8.9813,GG704915,3282528,3282709,LTR,Copia
CIMG_09581,GG704915:3265220..3266108(+),hypothetical protein,GG704915,3265220,3266108,CIMG_09581,+,0.9145,2.5431,GG704915,3266090,3266197,LTR,Gypsy
CIMG_09578,GG704915:3255425..3256453(+),phospholipase D,GG704915,3254908,3256564,CIMG_09578,+,21.5685,7.6939,GG704915,3256979,3257321,LTR,Gypsy
CIMG_09574,GG704915:3243283..3247964(-),hypothetical protein,GG704915,3243283,3248257,CIMG_09574,-,0.441,1.1332,GG704915,3243118,3243270,DNA,TcMar
CIMG_09573,GG704915:3238807..3242569(+),pyruvate carboxylase,GG704915,3238649,3242801,CIMG_09573,+,0.7423,0.1891,GG704915,3242876,3242940,DNA,TcMar
CIMG_09569,GG704915:3223241..3223997(-),hypothetical protein,GG704915,3223095,3224464,CIMG_09569,-,49.6268,51.9302,GG704915,3224527,3224780,DNA,TcMar
CIMG_09568,GG704915:3219709..3222878(+),INO80 chromatin remodeling complex,GG704915,3219709,3222878,CIMG_09568,+,3.1822,4.3857,GG704915,3224527,3224780,DNA,TcMar
CIMG_09566,GG704915:3213066..3214742(+),ornithine decarboxylase,GG704915,3213002,3215850,CIMG_09566,+,35.3752,11.1124,GG704915,3214398,3214446,LTR,Gypsy
CIMG_09565,GG704915:3211175..3212110(-),hypothetical protein,GG704915,3211175,3212110,CIMG_09565,-,48.9573,12.6219,GG704915,3214317,3214354,LTR,Gypsy
CIMG_09564,GG704915:3208692..3210247(-),hypothetical protein,GG704915,3208437,3210299,CIMG_09564,-,39.1758,7.2538,GG704915,3214317,3214354,LTR,Gypsy
CIMG_09500,GG704915:3045727..3046380(-),hypothetical protein,GG704915,3045727,3046380,CIMG_09500,-,1.328,3.3954,GG704915,3046166,3046354,LTR,Gypsy
CIMG_09499,GG704915:3039137..3045323(+),transcription factor C subunit 3,GG704915,3039022,3045407,CIMG_09499,+,0.4027,0.7508,GG704915,3046166,3046354,LTR,Gypsy
CIMG_09495,GG704915:3021751..3022395(-),hypothetical protein,GG704915,3021529,3023157,CIMG_09495,-,6.6958,10.4561,GG704915,3024580,3024609,LTR,Gypsy
CIMG_09494,GG704915:3020366..3021182(+),hypothetical protein,GG704915,3020278,3021465,CIMG_09494,+,3.7455,10.8098,GG704915,3024580,3024609,LTR,Gypsy
CIMG_09484,GG704915:2994910..2995389(-),hypothetical protein,GG704915,2994091,2995921,CIMG_09484,-,13.4932,72.1305,GG704915,2997673,2997727,DNA,TcMar
CIMG_09483,GG704915:2993796..2994563(+),hypothetical protein,GG704915,2993796,2994563,CIMG_09483,+,9.1803,41.839,GG704915,2997673,2997727,DNA,TcMar
CIMG_09482,GG704915:2989733..2993393(-),phospholipase D active site-containing protein,GG704915,2989352,2993607,CIMG_09482,-,0.2328,0.3506,GG704915,2997673,2997727,DNA,TcMar
CIMG_09465,GG704915:2947709..2951378(+),hypothetical protein,GG704915,2947709,2951378,CIMG_09465,+,3.1306,1.1037,GG704915,2951417,2956076,DNA,TcMar
CIMG_09464,GG704915:2945544..2947279(-),FolC protein,GG704915,2945416,2947319,CIMG_09464,-,0.128,0.2183,GG704915,2951417,2956076,DNA,TcMar
CIMG_09430,GG704915:2855087..2856382(+),actin monomer binding protein,GG704915,2855021,2856541,CIMG_09430,+,7.1298,3.7707,GG704915,2857225,2857328,LTR,Gypsy
CIMG_09429,GG704915:2853221..2854430(+),succinate:fumarate antiporter,GG704915,2853070,2854870,CIMG_09429,+,19.9388,3.3649,GG704915,2857225,2857328,LTR,Gypsy
CIMG_09367,GG704915:2688635..2690547(-),peptidyl-prolyl cis-trans isomerase-like 2,GG704915,2688084,2690775,CIMG_09367,-,0.1733,0.3798,GG704915,2691349,2691498,LTR,Gypsy
CIMG_09365,GG704915:2685173..2686468(-),hypothetical protein,GG704915,2685173,2686468,CIMG_09365,-,2.187,6.5984,GG704915,2691349,2691498,LTR,Gypsy
CIMG_09336,GG704915:2613699..2614984(-),hypothetical protein,GG704915,2613449,2614984,CIMG_09336,-,0.9342,4.1073,GG704915,2617578,2617682,DNA,TcMar
